ˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉˉ
 NANO Node Vote Tallies → Grouped by [Root Hash] → Sorted by [Timestamp]
ˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍˍ
  498x ROOT: 4070C203A31F0C8DC895EEEAEB358D3806CD342B876E55B51AD75D2EE03FF25A
 MAIN BLOCK: 4FE0807D6666E4389381A91A34BAC3A06A906E67950722A6AB3476799A5271EA 
 FORK BLOCK: 070BFF6310BA814F2E94C22C5592F61A7D7D119CEDDB5DD751F60CFDE5D097DD
    MAIN BLOCK  |     FORK BLOCK  |                      TIMESTAMP
         66,62% |           0,13% |   [2018-06-18 09:41:16.537665]
         66,62% |           0,13% |   [2018-06-18 09:41:20.291201]
         69,33% |           0,13% |   [2018-06-18 09:41:21.149740]
         69,33% |           0,13% |   [2018-06-18 09:41:22.044902]
         69,33% |           0,13% |   [2018-06-18 09:41:23.273907]
         69,33% |           0,13% |   [2018-06-18 09:41:23.959214]
         69,33% |           0,13% |   [2018-06-18 09:41:23.962214]
         69,33% |           0,13% |   [2018-06-18 09:41:30.237485]
         69,33% |           0,13% |   [2018-06-18 09:41:31.445136]
         69,33% |           0,13% |   [2018-06-18 09:41:31.648913]
         69,77% |           0,13% |   [2018-06-18 09:41:31.746008]
         70,19% |           0,13% |   [2018-06-18 09:41:31.793139]
         70,19% |           0,13% |   [2018-06-18 09:41:31.819139]
         70,19% |           0,13% |   [2018-06-18 09:41:31.858139]
         70,19% |           0,13% |   [2018-06-18 09:41:31.908098]
         70,29% |           0,13% |   [2018-06-18 09:41:31.944110]
         70,29% |           0,13% |   [2018-06-18 09:41:31.954103]
         70,29% |           0,13% |   [2018-06-18 09:41:32.092301]
